Title,Description,Price
Croisière touristique en ville,"Une croisière d'une heure sur la Seine, à bord d'un trimaran","€ 19,80"
Voyage aller-retour en petit train à Montmartre,Une visite à la découverte du quartier de Montmartre en petit train,€ 7
Croisière sur la Seine et dégustation de crêpes,Une croisière en bateau d'une heure et une dégustation de crêpes fines,"€ 19,90"
Croisière touristique sur la Seine,Une croisière d’une heure en bateau dans le centre de Paris,€ 16
Dîner-croisière composé de 3 plats à Paris,Un dîner-croisière pour admirer la ville depuis l'eau,€ 41
Croisière touristique sur la Seine,Un circuit pour découvrir les sites incontournables de Paris depuis l'eau,€ 20
Croisière d’une heure sur la Seine avec dîner,Croisière touristique et dîner composé de 3 plats,"€ 54,50"
Dîner-croisière sur la Seine,Découverte des sites touristiques de Paris lors d'un dîner-croisière sur la Seine,€ 109
Entrée prioritaire au Panthéon de Paris,"L’histoire, l’art et l’architecture réunis dans un monument historique","€ 11,50"
Billet coupe-file pour la tour Eiffel et croisière sur la Seine,Deux expériences parisiennes classiques avec un seul billet : tour Eiffel et croisière sur la Seine,€ 59
Visite nocturne en bus,Une visite guidée de 2 heures avec commentaire enregistré,€ 27
Une croisière touristique à Paris et un déjeuner,Une croisière avec un déjeuner gastronomique et un panorama sur les lieux d'intérêt parisiens,€ 69
Déjeuner gastronomique à bord du Bustronome Paris,Savourez un copieux déjeuner gastronomique tout en admirant les principaux lieux d’intérêt parisiens,€ 70
Entrée à l'Arc de Triomphe et croisière sur la Seine,Deux moyens de découvrir les lieux d'intérêt les plus célèbres de Paris,"€ 26,90"
Une croisière sur la Seine et un déjeuner gastronomique,"Une découverte des trésors de Paris, lors d’une visite touristique de 2 heures au fil du fleuve",€ 73
Déjeuner-croisière sur la Seine,"Croisière sur la Seine avec déjeuner composé de 3 plats, vue panoramique et musique live",€ 69
Une croisière au fil de la Seine et des canaux,"Un panorama sur les attractions prisées de la ville, depuis les flots","€ 22,36"
Croisière sur la Seine et visite à pied du quartier du Marais,Une croisière fluviale sur la Seine avec une visite à pied du quartier du Marais,"€ 22,99"
Entrée au château de Fontainebleau,Un billet qui vous permettra d’accéder à ce château du XIIe siècle devenu aujourd'hui un musée,€ 13
Visite privée sur le thème de l’histoire de la mode au cœur de Paris,Une activité de 3 heures sur le thème de la mode pour découvrir des boutiques haut de gamme et les légendaires maisons de coutures françaises,€ 99
Excursion de 2 heures en Citroën 2 CV,Une visite privée des principaux sites d’intérêt de Paris,€ 219
Une croisière au fil du canal Saint-Martin,"Une découverte de certains des trésors les plus secrets de Paris, au fil d’une voie navigable historique",€ 27
Visite guidée du Sacré-Cœur et de Montmartre,Une visite guidée d'une heure et demie des attractions mythiques du quartier,€ 15
Une croisière au fil de la Seine sur les Vedettes du Pont Neuf,Une croisière au fil de la Seine pour admirer des monuments parisiens célèbres,€ 15
Croisière touristique sur la Seine,Une croisière fluviale pour découvrir les lieux d’intérêt de Paris depuis l'eau,"€ 14,80"
Découverte du street art à vélo,Une balade à vélo le long de la Seine pour découvrir le street art du quartier ZAC Paris 13,€ 43
Visite à pied hors des sentiers battus,Une visite à pied privée et guidée pour vivre Paris comme un Parisien,"€ 284,56"
Visite à pied à Saint-Germain-des-Prés,Une visite guidée avec des dégustations culinaires,"€ 89,44"
Visite guidée de la ville dans une voiture française d'époque,Trois heures de route dans une voiture classique à la découverte des sites emblématiques de la capitale française,"€ 87,25"
Croisière sur la Seine et le canal Saint-Martin,Balade en bateau depuis le parc de la Villette,€ 22
Visite à pied sur mesure de 3 heures à Paris,"Un circuit guidé et personnalisé de 3 heures, pour découvrir Paris avec un(e) habitant(e)",£160
Visite autonome du musée Carnavalet avec audioguide,Visite avec un audioguide sur votre smartphone pour découvrir par vous-même le musée,€ 12
Visite gourmande de Montmartre,Une aventure culinaire dans l'un des quartiers les plus pittoresques de Paris,€ 85
Visite à pied consacrée à l'Art nouveau,Découverte des plus beaux exemples d'architecture Art nouveau dans les 8e et 9e arrondissements,"€ 76,22"
Visite guidée de Paris à vélo,Visite guidée de Paris à vélo le long des 2 rives de la Seine,€ 39
Excursion gastronomique au marché Président Wilson,Visite de 2h d'un marché en plein air avec dégustations,"€ 83,34"
Visite de l'abbaye du Mont-Saint-Michel,Une excursion d'une journée depuis Paris pour visiter l'abbaye historique du Mont-Saint-Michel,€ 129
"Une excursion privée d’une journée en Champagne, depuis Paris","Une excursion d’une journée en Champagne, en compagnie d’un(e) vigneron(ne) local(e)",€ 1 143
"Une activité gastronomique en petit groupe, agrémentée de dégustations","Une balade gastronomique à pied au marché d’Aligre, pour y découvrir les joyaux culinaires de la capitale",€ 90
Visite d'une journée du Mont-Saint-Michel,"Découverte de l'île classée au patrimoine mondial de l'UNESCO, de sa magnifique abbaye et de son superbe village",€ 150
Visite à pied de la pierre tombale du Père Lachaise,Une visite guidée de deux heures dans le cimetière atmosphérique,€ 21
Balade en vélo électrique,Découvrez les sites d'intérêt et les joyaux cachés de Paris d’une manière active,€ 49
Une visite nocturne à Paris en Segway,"Une visite guidée la nuit en Segway, pour découvrir le centre historique de Paris, une oasis de splendeur",€ 95
Visite guidée à pied du quartier du Louvre,Promenez-vous dans un quartier regorgeant de sites touristiques et de boutiques de luxe.,€ 88
Châteaux de la Loire avec dégustation de vins,"Une visite guidée d’une journée complète des châteaux de la Renaissance de Chenonceau, de Chambord et d’Amboise",€ 225
Visite privée des lieux d’intérêt de la ville avec dégustation de champagne,Une visite nocturne de 2 heures de la Ville Lumière en Citroën 2CV,"€ 264,88"
Visite guidée à pied de la ville,Possibilité de découvrir quelques-uns des principaux sites d’intérêt de Paris,€ 558
Visite privée des monuments néoclassiques de Paris,Une visite guidée de certains des plus beaux monuments à l’architecture néoclassique de la capitale,€ 250
Visite à pied sur le thème du chocolat à Paris,Une visite guidée pour découvrir quelques-unes des meilleures boutiques de chocolat de la ville,"€ 81,31"
Visite autonome du Petit Palais avec audioguide,Une visite téléchargeable pour explorer le musée d'art par vous-même,€ 9
Activité sur le thème de la gastronomie dans le quartier de Saint-Germain-des-Prés,Activité guidée sur le thème de la gastronomie dans le quartier de Saint-Germain-des-Prés,€ 110
Visite d’une cave à vins royale et dégustations œnologiques,Une visite guidée d’une cave à vins parisienne et 3 échantillons de vins,€ 35
Visite photo privée de Paris,Trois heures personnalisées pour explorer les sites qui vous intéressent à Paris,£240
Visite privée avec un habitant,Un aperçu des sites incontournables et des endroits cachés de Paris lors d'une visite guidée avec un habitant,€ 207
Visite de Paris avec croisière et surclassement à la tour Eiffel,Visite guidée de Paris avec trajet en ascenseur jusqu'au sommet de la tour Eiffel,€ 109
Visite gastronomique de Paris,Une visite gastronomique de 2h30 dans le quartier des Halles-Montorgueil,€ 102
Excursion de 2 heures en moto et en side-car,Une visite guidée des sites touristiques de Paris en moto,"€ 340,24"
Visite à pied de Montmartre et du Sacré-Cœur,Visite privée de 2h30 dans le quartier artistique en compagnie d’un(e) guide,"€ 83,74"
Circuit à vélo alternatif de Paris,Une visite guidée à vélo d’une demi-journée pour découvrir les sites insoupçonnés de Paris,€ 37
Visite à pied de Paris de 2 heures et demie,Une visite guidée en petit groupe sur le thème de l’histoire,"€ 83,74"
4h de visite de la ville avec croisière fluviale,Circuit en véhicule de luxe autour de sites emblématiques de Paris et croisière sur la Seine,€ 600
Visite nocturne de Paris à vélo avec croisière fluviale,Visite guidée en petit groupe avec boissons,€ 47
Excursion d'une demi-journée en side-car Ural vintage,Une visite guidée à la découverte des sites incontournables de Paris avec prise en charge incluse,"€ 513,48"
Excursion privée d'une journée au Mont-Saint-Michel depuis Paris,Découvrez le Mont-Saint-Michel et la campagne environnante lors de cette visite privée au départ de Paris,€ 1 250
Visite gastronomique avec dégustation de spécialités françaises,Activité pour déguster les spécialités pâtissières et chocolatées de Paris,"€ 110,78"
Visite privée de la ville pour toute la famille,Visite guidée de Paris pour toute la famille avec quiz et chasses au trésor,€ 99
Une visite romantique guidée à pied de 2 heures,"Une visite à pied, pour découvrir certaines des destinations et attractions les plus romantiques de Paris",€ 558
Une découverte de Paris à vélo,"Une balade guidée à vélo, pour admirer les sites majeurs de Paris",€ 37
Visite gastronomique guidée de 3 heures dans la ville,"Visite à pied à Paris, pour découvrir les trésors de la gastronomie végane","€ 67,96"
Visite des plages et du musée du débarquement,Visite des sites du débarquement et d'un musée,€ 310
Visite guidée de la ville et croisière sur la Seine,Billet pour une visite de la ville et une croisière de 1 heure sur la Seine,"€ 39,64"
Private Tour of Champs-Élysées,A walking tour to discover the capital's iconic avenue with a private guide,€ 250
Visite gastronomique à pied,"Participez à une visite guidée à pied dans le quartier de la Tour Eiffel et dégustez des viandes, des fromages, des viennoiseries, du pain et bien plus encore",€ 109
Visite privée à pied de la rive droite,Une promenade guidée le long de la partie de la Seine représentant le gouvernement français et ses autorités,€ 300
Visite du Quartier latin avec audioguide,Une visite guidée de l'emblématique Quartier latin,€ 8
Activité à la découverte des sites célèbres de Paris dans une voiture de collection,"Une activité privée pour découvrir les lieux d’intérêt emblématiques de Paris, dans une 2CV Citroën","€ 222,42"
Dégustation de champagne à 2,"Un après-midi placé sous le signe de la dégustation de champagne, en compagnie d’un sommelier chevronné","€ 21,69"
Visite privée personnalisée de Paris,Visite privée de 6 heures à la découverte des points forts et des joyaux moins connus de la ville,€ 600
Visite touristique en bus et spectacle au Moulin Rouge,Une visite interactive de Paris en bus et un spectacle de cabaret avec champagne au Moulin Rouge,€ 149
Activité pour apprendre à s’orienter dans le métro parisien,"Apprenez à vous orienter dans le métro parisien, pour tirer le meilleur parti de votre séjour.",€ 82
Visite gastronomique du Marais et dîner,Participez à une visite de 3 heures à la découverte des trésors culinaires d’un quartier parisien pittoresque,"€ 99,95"
Visite de 2 heures à Montmartre avec séance photo,Découvrez les célèbres sites de Montmartre en compagnie d’un photographe professionnel.,€ 210
Jeu d'exploration idyllique de Montmartre,Jeu d'exploration pour résoudre des défis et en savoir plus sur les histoires d’amour perdues à Paris,"€ 9,99"
Excursion alimentaire à Saint-Germain-des-Prés,Visite privée avec un expert gastronomique français,€ 150
Visite à pied du marché d'Aligre avec dégustation de vins et de mets,Découvrez un marché gastronomique parisien animé et goûtez aux spécialités locales,€ 70
Une visite guidée pour découvrir les plages du Débarquement,"Une découverte de l’histoire de la seconde guerre mondiale en Normandie, lors d’une visite privée d’une journée entière au départ de Paris","€ 1 778,46"
Visite à pied de petits groupes de passages couverts,Une visite guidée pour découvrir des établissements cachés et déguster des vins locaux,"€ 100,61"
Balade à vélo la nuit,"Une découverte des joyaux parisiens illuminés la nuit, lors d’une sortie à vélo",€ 38
Visite guidée à pied privée du quartier du Marais,Une promenade dans le quartier du Marais pour découvrir son histoire et ses particularités,€ 250
Masterclass de préparation d’une baguette dans une boulangerie,Entrez dans les coulisses d'une boulangerie durant un cours de 2 heures.,€ 90
"Une visite œnologique en Bourgogne, une région viticole","Une visite pour découvrir des domaines viticoles locaux, situés dans la région de Chablis, et déguster plus de 10 vins",€ 225
Visite privée du Centre Pompidou,Une visite guidée pour découvrir une grande variété d’œuvres d’art contemporain et du XXe siècle,€ 300
Visite privée à pied,"Activité guidée dans les rues de Paris, visite de lieux d’intérêt emblématiques et découverte de la ville de l'amour","€ 221,33"
"Visite de Montmartre, Dîner et Cabaret Traditionnel","Une découverte du cœur bohème de Paris, en compagnie d’un guide privé et une navette",€ 414
Saint-Germain-des-Prés Neighbourhood Guided Tour,Explore the iconic Parisian neighbourhood and discover its literary tradition,€ 88
Visite des principaux sites d’intérêt de la ville en bus panoramique,Visite guidée de Paris en bus avec commentaire instructif,€ 29
Visite guidée de la ville à vélo,Visite en petit groupe des passages cachés de Paris à ne pas manquer,€ 37
Une croisière de 1 heure sur la Seine pour déguster du champagne,Une croisière touristique avec 3 dégustations de champagne,€ 65
Le Musée de l'Armée aux Invalides,Une visite de deux heures en immersion dans le riche passé militaire de la France dans un bâtiment historique,"€ 380,54"
Visite guidée à vélo de 3 heures de nuit,Un balade à vélo à travers Paris pour découvrir ses lieux d’intérêt emblématiques illuminés la nuit,€ 38
